movie_id,imdb_id,title,original_title,release_date,vote_average,vote_count,popularity,overview,budget,revenue_tmdb,runtime,genres,production_companies,tagline,director,cast
1087192,tt26743210,How to Train Your Dragon,How to Train Your Dragon,2025-06-06,8.137,1082,1206.4161,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",150000000,589213795,125,"Fantasy, Family, Action","DreamWorks Animation, Marc Platt Productions",The legend is real.,Dean DeBlois,"Mason Thames, Nico Parker, Gerard Butler, Nick Frost, Gabriel Howell"
1071585,tt26342662,M3GAN 2.0,M3GAN 2.0,2025-06-25,7.712,418,913.9119,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",25000000,37894815,120,"Action, Science Fiction, Thriller","Blumhouse Productions, Atomic Monster, Divide / Conquer",Miss me?,Gerard Johnstone,"Jenna Davis, Allison Williams, Violet McGraw, Ivanna Sakhno, Amie Donald"
1315986,tt31974129,Man with No Past,Man with No Past,2025-01-13,7.065,23,571.1025,"Waking up in an unfamiliar city, a man with no memory must confront the mysteries of his own identity. However, his desperate search to uncover the past pits him against a powerful enemy, leading to a showdown that ultimately reveals the truth.",0,0,103,"Action, Drama","SP Media Group, Steven Paul Production",Connect with memory.,James Bamford,"Jon Voight, Adam Woodward, Marton Csokas, Charlotte Vega, Philip Winchester"
1311031,tt32820897,Demon Slayer: Kimetsu no Yaiba Infinity Castle,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,2025-07-18,7.409,11,467.9188,"As the Demon Slayer Corps members and Hashira engaged in a group strength training program, the Hashira Training, in preparation for the forthcoming battle against the demons, Muzan Kibutsuji appears at the Ubuyashiki Mansion. With the head of the Demon Corps in danger, Tanjiro and the Hashira rush to the headquarters but are plunged into a deep descent to a mysterious space by the hands of Muzan Kibutsuji.  The destination of where Tanjiro and Demon Slayer Corps have fallen is the demons' stronghold – the Infinity Castle. And so, the battleground is set as the final battle between the Demon Slayer Corps and the demons ignites.",0,49400000,155,"Animation, Action, Fantasy, Thriller","ufotable, Aniplex, Shueisha",It's time to have some fun.,Haruo Sotozaki,"Natsuki Hanae, Akari Kito, Yoshitsugu Matsuoka, Hiro Shimono, Toshihiko Seki"
1061474,tt5950044,Superman,Superman,2025-07-09,7.5,1023,399.7971,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",225000000,409333556,130,"Science Fiction, Adventure, Action","DC Studios, Troll Court Entertainment, The Safran Company, Domain Entertainment",Look up.,James Gunn,"David Corenswet, Rachel Brosnahan, Nicholas Hoult, Edi Gathegi, Anthony Carrigan"
1011477,tt1674782,Karate Kid: Legends,Karate Kid: Legends,2025-05-08,7.246,494,396.3329,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",45000000,105456077,94,"Action, Adventure, Drama","Columbia Pictures, Sunswept Entertainment, TSG Entertainment",When masters unite a new legacy begins.,Jonathan Entwistle,"Jackie Chan, Ben Wang, Joshua Jackson, Sadie Stanley, Ming-Na Wen"
541671,tt7181546,Ballerina,Ballerina,2025-06-04,7.5,1100,312.2247,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",90000000,131774389,125,"Action, Thriller, Crime","Thunder Road, 87Eleven, Lionsgate",Vengeance has a new face.,Len Wiseman,"Ana de Armas, Keanu Reeves, Ian McShane, Anjelica Huston, Gabriel Byrne"
1374534,tt27675583,Almost Cops,Bad Boa's,2025-07-10,5.747,85,284.9186,"When an overeager community officer and a reckless ex-detective are forced to team up, plenty of chaos ensues on the streets of Rotterdam.",0,0,95,"Action, Comedy, Crime, Mystery","Kaap Holland Film, Het huis van Asporaat, Huntu Productions",,Gonzalo Fernandez Carmona,"Jandino Asporaat, Werner Kolf, Mark Rietman, Florence Vos Weeda, Juliette van Ardenne"
1119878,tt27621210,Ice Road: Vengeance,Ice Road: Vengeance,2025-06-27,6.996,128,327.3457,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",0,0,113,"Action, Thriller, Drama","Code Entertainment, Shivhans Pictures, Envision Media Arts, The Solution",,Jonathan Hensleigh,"Liam Neeson, Fan Bingbing, Marcus Thomas, Grace O'Sullivan, Saksham Sharma"
552524,tt11655566,Lilo & Stitch,Lilo & Stitch,2025-05-17,7.2,895,291.1984,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,100000000,1007986676,108,"Family, Science Fiction, Comedy, Adventure","Walt Disney Pictures, Rideback",Hold on to your coconuts.,Dean Fleischer Camp,"Maia Kealoha, Sydney Agudong, Chris Sanders, Zach Galifianakis, Billy Magnussen"
